year,industry1,industry2,at_least_one,parttime_work,flexihours,staggered_hours,teleworking,homeworking,job_sharing,compressed_work_week
2017,manufacturing,other manufacturing industries,30.5,20.3,15.4,6.4,6.4,-,-,2.3
2017,construction,construction,30.2,17,13,4.2,2.5,-,-,0.7
2017,services,wholesale and retail trade,50.9,36.3,14.2,11.1,6.5,1.3,0.8,1.7
2017,services,transportation and storage,46.8,28.6,15.1,19,5.9,-,1,0.8
2017,services,accommodation and food services,69.9,60.7,17.8,15,4.6,1.8,2.2,0.2
2017,services,information and communications,62.9,35.6,36.2,22.7,18.4,-,2.8,2.5
2017,services,financial and insurance services,65.6,53.1,18.7,30.8,14.1,1.1,4.3,4.8
2017,services,real estate services,52.6,43.6,5.2,14.2,5.2,-,-,0.9
2017,services,professional services,55.6,33.4,22.2,16.3,12.3,1.2,0.2,2.6
2017,services,administrative and support services,63.8,51.9,19.2,11.1,7.6,-,0.3,1
2017,services,"community, social and personal services",73.6,65.5,14.7,23.6,9.3,1.4,0.3,0.5
2018,manufacturing,"food, beverages and tobacco",51.6,39.1,11.7,16.8,3.1,0.8,2.7,-
2018,manufacturing,paper/ rubber/ plastic products and printing,47.2,35.7,15.1,14.1,4.5,2.5,-,-
2018,manufacturing,"petroleum, chemical and pharmaceutical products",57.2,39.5,17.8,21.1,5.3,-,-,1.3
2018,manufacturing,fabricated metal products and machinery,40.1,29,11.3,10.2,4,1.3,1.3,1.3
2018,manufacturing,electronic and computer products,60.3,35.3,14.7,30.1,14.7,-,1.3,1.9
2018,manufacturing,transport equipment,38.6,19.9,14.4,13.3,6.8,1.1,1.5,4.4
2018,manufacturing,other manufacturing industries,28.2,20.6,7.2,10.7,4.8,1.7,-,1
2018,construction,construction,32,17.4,11.8,11.1,1.7,1.6,2.6,2.9
2018,services,wholesale and retail trade,51.9,36.2,15.4,15.7,7.3,0.7,0.6,2.5
2018,services,transportation and storage,49.2,34.1,11,22,7.3,0.1,0.7,2.6
2018,services,accommodation and food services,75.5,65.5,22.4,23.2,7.6,1.6,2.5,6.5
2018,services,information and communications,66,38.9,29.1,24.5,21.7,-,3.3,1.1
2018,services,financial and insurance services,65.1,50.4,22.1,34.5,20.4,0.2,3.8,6.6
2018,services,real estate services,64.2,57.9,12.6,24.7,13.2,2.6,7.4,5.8
2018,services,professional services,59.8,35.7,25.7,24.3,18.5,1.5,1,4.2
2018,services,administrative and support services,66.1,52.6,17,13.5,9.8,1.5,1.7,2.1
2018,services,"community, social and personal services",78.3,69.1,16.5,30.6,8.3,1,1.3,3
2019,manufacturing,"food, beverages and tobacco",62.3,47.4,14.5,15.5,8.1,3.9,2.3,2.3
2019,manufacturing,paper/ rubber/ plastic products and printing,43.4,29.3,11.6,18.2,5.6,-,-,1
2019,manufacturing,"petroleum, chemical and pharmaceutical products",60.4,29.6,28.4,18.9,10.1,3,4.1,6.5
2019,manufacturing,fabricated metal products and machinery,39.2,22.3,14.7,10.7,5.2,-,-,-
2019,manufacturing,electronic and computer products,56.7,30.5,14.2,31.2,5,-,-,2.1
2019,manufacturing,transport equipment,41.8,28.5,14.8,16.3,3.9,1.3,1.1,1.1
2019,manufacturing,other manufacturing industries,47.7,19.9,10.6,21.9,11.3,-,-,1.3
2019,construction,construction,28.8,17.1,12.7,7.8,1,-,0.8,1.4
2019,services,wholesale and retail trade,53.7,34.6,13.4,20.4,5.8,0.8,0.9,1.1
2019,services,transportation and storage,44.6,29.1,13.6,19.9,7.9,0.9,0.3,1.8
2019,services,accommodation and food services,73.4,58.4,18.8,23.3,5.5,2.9,1.3,2.3
2019,services,information and communications,57.7,27.4,29.6,29.1,19.5,1.7,2.6,0.5
2019,services,financial and insurance services,62.2,41,18,35.8,15.8,1.2,2.4,4.2
2019,services,real estate services,51.1,38,15.7,19.2,4.4,-,1.3,-
2019,services,professional services,60.6,39.9,24.8,25.6,13.9,0.5,1.4,1.1
2019,services,administrative and support services,59,44.7,17.9,13.1,6,1,0.5,1.1
2019,services,"community, social and personal services",76.7,67.2,17.3,26,6.1,1.1,3.1,3.2
2020,manufacturing,"food, beverages and tobacco",86.7,40.9,49.2,58.5,53.2,11.6,18.6,14.6
2020,manufacturing,paper/ rubber/ plastic products and printing,75.1,27.6,40,41.1,47,8.6,15.1,8.1
2020,manufacturing,"petroleum, chemical and pharmaceutical products",74.7,25.9,35.8,27.8,50.6,3.7,11.7,18.5
2020,manufacturing,fabricated metal products and machinery,72.9,28.2,34.6,38.3,44.1,14.5,15.5,8.8
2020,manufacturing,electronic and computer products,81.7,26.8,52.3,56.2,51.6,10.5,11.8,4.6
2020,manufacturing,transport equipment,73.6,33.4,35.8,33.8,41,13.1,15.5,13.7
2020,manufacturing,other manufacturing industries,77.7,30.9,32.5,51.7,42.3,12.5,7.5,7.5
2020,construction,construction,65.2,23.7,33.6,34.2,43.3,13.1,18.6,10.7
2020,services,wholesale and retail trade,80.5,50.5,40.3,48.1,39.3,7.3,14.2,7.3
2020,services,transportation and storage,74.5,32.3,33.8,50.6,46.5,5,11.4,9.2
2020,services,accommodation and food services,90.3,70.7,54.8,54,40.1,10.6,18.1,14
2020,services,information and communications,86.6,38.9,55.4,39.3,76,0.9,8.6,7.3
2020,services,financial and insurance services,77.9,40.8,39.9,46.3,59,1.1,6.6,8.1
2020,services,real estate services,83.2,52,34.7,64.9,49,10.9,14.9,5.9
2020,services,professional services,87.5,43.2,46.8,58.4,67.2,9.4,14.3,12.2
2020,services,administrative and support services,84.2,58.6,36.6,36,40.6,8.3,14,9.9
2020,services,"community, social and personal services",80.9,63.9,45.4,45.7,41.5,12.2,14.9,11.3
2021,manufacturing,"food, beverages and tobacco",95.5,50,57.5,40.9,55.5,-,21.1,7.1
2021,manufacturing,paper/ rubber/ plastic products and printing,92.9,29.6,45,44.4,49.1,3,17.8,3
2021,manufacturing,"petroleum, chemical and pharmaceutical products",87.8,40.2,43.9,52.4,68.9,1.2,18.3,10.4
2021,manufacturing,fabricated metal products and machinery,89.8,34.6,47,40.9,58.6,1.1,15.9,7.4
2021,manufacturing,electronic and computer products,87,30.6,50,57.4,70.4,0.9,4.6,8.3
2021,manufacturing,transport equipment,93.3,32.1,48.7,54,60.7,1.5,21.2,8.8
2021,manufacturing,other manufacturing industries,84.5,34.3,46,38.9,48.1,0.4,14.2,5
2021,construction,construction,84.4,32.1,40.3,37.5,50.1,2.4,14.1,6.5
2021,services,wholesale and retail trade,92.6,46.7,47.4,54.3,61.4,1.2,15.1,6.2
2021,services,transportation and storage,92.2,39.6,47,58.8,60.4,1.4,18.5,4.8
2021,services,accommodation and food services,92.3,72.9,57.6,46.4,38,4.2,20.4,10.2
2021,services,information and communications,92.5,46.9,66.2,54.1,75.1,4.3,8.2,9.9
2021,services,financial and insurance services,97.4,57.3,52.4,70.9,76.9,1.5,7.5,8
2021,services,real estate services,85.6,57.4,45.1,44.1,46.7,-,14.9,7.2
2021,services,professional services,90.4,42.5,51.3,57.3,66.2,0.7,12.2,8.9
2021,services,administrative and support services,88.9,61.7,47.1,38.8,54.2,1.9,15.1,6
2021,services,"community, social and personal services",94.7,74.4,56.1,56.4,54.6,3.8,17.4,11.8
2022,manufacturing,"food, beverages and tobacco",68,41.1,34.2,32.6,28.5,9.7,14.7,9.7
2022,manufacturing,paper/ rubber/ plastic products and printing,73.8,42.7,27.4,42.1,31.7,12.2,15.2,15.9
2022,manufacturing,"petroleum, chemical and pharmaceutical products",73.1,23.7,32.7,25,39.1,3.8,8.3,15.4
2022,manufacturing,fabricated metal products and machinery,60.5,25,28.8,24.4,27.8,6.5,14.1,15.3
2022,manufacturing,electronic and computer products,75.4,25.4,38.8,52.2,44.8,-,11.2,15.7
2022,manufacturing,transport equipment,63.2,16.6,35.3,30.1,32.8,12.7,15.6,20.8
2022,manufacturing,other manufacturing industries,55.4,19.4,28.8,31.5,23.9,2.3,5.4,18.9
2022,construction,construction,59.4,22.5,31.4,25.9,24.1,9.1,17.2,14.8
2022,services,wholesale and retail trade,72.5,36.4,36.6,37.8,35.9,6.1,14.1,14.9
2022,services,transportation and storage,69.5,30.6,37.5,37.7,37.8,6.9,16.7,16.3
2022,services,accommodation and food services,80.4,56.4,42.6,37.1,22.8,11,18.6,19
2022,services,information and communications,82.5,31.9,55.4,45.5,55.2,7.1,11.8,14.4
2022,services,financial and insurance services,79.5,32.4,37.5,49.3,56.5,4.3,9.8,17.1
2022,services,real estate services,77,46,25.3,28.2,24.7,9.8,10.9,19.5
2022,services,professional services,78.5,38.4,41.9,37.5,47.2,9.8,12.5,19.2
2022,services,administrative and support services,70.4,46.5,33.6,31.9,27.3,6.3,15.6,19.9
2022,services,"community, social and personal services",81.8,59.6,45.4,46.7,40.5,15.9,19.6,21.5
2023,manufacturing,"food, beverages and tobacco",69.6,47.2,45.7,32.4,27,6.1,24.2,18.9
2023,manufacturing,paper/ rubber/ plastic products and printing,59.9,21,44.4,36.4,19.1,3.1,12.3,10.5
2023,manufacturing,"petroleum, chemical and pharmaceutical products",51.8,19.4,18.8,20.6,28.2,2.9,14.7,8.8
2023,manufacturing,fabricated metal products and machinery,54.2,16.9,27.6,17.1,25.1,4.3,15.3,6.8
2023,manufacturing,electronic and computer products,83.9,15.3,43.1,29.9,41.6,9.5,8.8,10.2
2023,manufacturing,transport equipment,57.8,23.3,35.6,26.6,27.5,15.6,25,19.3
2023,manufacturing,other manufacturing industries,49.2,32.3,28,20.6,19.1,5.8,6.2,7.7
2023,construction,construction,58.1,22.5,32.6,21.8,25.6,12.3,22.4,13.8
2023,services,wholesale and retail trade,68.9,32.6,35.1,32.1,32.3,9,18.1,9.3
2023,services,transportation and storage,68.7,24.4,36.6,33,29,8,19,11.3
2023,services,accommodation and food services,78.2,53.2,53.9,42.5,24.1,9.7,24.2,20.5
2023,services,information and communications,82.1,24.3,54.8,37.4,60.2,9,12.2,8.8
2023,services,financial and insurance services,76.5,39.8,46.2,41.1,47,7.4,11.7,10.2
2023,services,real estate services,71.7,37.7,31.6,30.7,23.1,9.4,16,11.3
2023,services,professional services,75.4,33.8,47.4,36.4,45.6,8,15.8,12.9
2023,services,administrative and support services,64.4,41.6,35.4,26.3,26.7,9.5,16.9,12.8
2023,services,"community, social and personal services",75.5,54.1,44.7,36.5,34.4,14.2,21.5,16.5
