STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,MEASURE,Measure,UNIT_MEASURE,Unit of measure,EXPEND_SOURCE,Expenditure source,SPENDING_TYPE,Spending type,PROGRAMME_TYPE,Programme type,PRICE_BASE,Price base,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals,CURRENCY,Currency,BASE_PER,Base period
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_PUB_DIS_SIC(1.0),Public expenditure on disability and sickness cash benefits in % GDP,I,CAN,Canada,A,Annual,SOCX,Social expenditure,PT_B1GQ,Percentage of GDP,ES10,Public,K,In kind spending,TP31,Incapacity related,_Z,Not applicable,2020,,,,M,Missing value; data cannot exist,0,Units,1,One,_Z,Not applicable,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_PUB_DIS_SIC(1.0),Public expenditure on disability and sickness cash benefits in % GDP,I,CAN,Canada,A,Annual,SOCX,Social expenditure,PT_B1GQ,Percentage of GDP,ES10,Public,K,In kind spending,TP31,Incapacity related,_Z,Not applicable,2021,,,,M,Missing value; data cannot exist,0,Units,1,One,_Z,Not applicable,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_PUB_DIS_SIC(1.0),Public expenditure on disability and sickness cash benefits in % GDP,I,CAN,Canada,A,Annual,SOCX,Social expenditure,PT_B1GQ,Percentage of GDP,ES10,Public,K,In kind spending,TP31,Incapacity related,_Z,Not applicable,2022,,,,M,Missing value; data cannot exist,0,Units,1,One,_Z,Not applicable,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_PUB_DIS_SIC(1.0),Public expenditure on disability and sickness cash benefits in % GDP,I,USA,United States,A,Annual,SOCX,Social expenditure,PT_B1GQ,Percentage of GDP,ES10,Public,K,In kind spending,TP31,Incapacity related,_Z,Not applicable,2010,,,,M,Missing value; data cannot exist,0,Units,1,One,_Z,Not applicable,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_PUB_DIS_SIC(1.0),Public expenditure on disability and sickness cash benefits in % GDP,I,USA,United States,A,Annual,SOCX,Social expenditure,PT_B1GQ,Percentage of GDP,ES10,Public,K,In kind spending,TP31,Incapacity related,_Z,Not applicable,2011,,,,M,Missing value; data cannot exist,0,Units,1,One,_Z,Not applicable,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_PUB_DIS_SIC(1.0),Public expenditure on disability and sickness cash benefits in % GDP,I,USA,United States,A,Annual,SOCX,Social expenditure,PT_B1GQ,Percentage of GDP,ES10,Public,K,In kind spending,TP31,Incapacity related,_Z,Not applicable,2012,,,,M,Missing value; data cannot exist,0,Units,1,One,_Z,Not applicable,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_PUB_DIS_SIC(1.0),Public expenditure on disability and sickness cash benefits in % GDP,I,USA,United States,A,Annual,SOCX,Social expenditure,PT_B1GQ,Percentage of GDP,ES10,Public,K,In kind spending,TP31,Incapacity related,_Z,Not applicable,2013,,,,M,Missing value; data cannot exist,0,Units,1,One,_Z,Not applicable,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_PUB_DIS_SIC(1.0),Public expenditure on disability and sickness cash benefits in % GDP,I,USA,United States,A,Annual,SOCX,Social expenditure,PT_B1GQ,Percentage of GDP,ES10,Public,K,In kind spending,TP31,Incapacity related,_Z,Not applicable,2014,,,,M,Missing value; data cannot exist,0,Units,1,One,_Z,Not applicable,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_PUB_DIS_SIC(1.0),Public expenditure on disability and sickness cash benefits in % GDP,I,USA,United States,A,Annual,SOCX,Social expenditure,PT_B1GQ,Percentage of GDP,ES10,Public,K,In kind spending,TP31,Incapacity related,_Z,Not applicable,2015,,,,M,Missing value; data cannot exist,0,Units,1,One,_Z,Not applicable,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_PUB_DIS_SIC(1.0),Public expenditure on disability and sickness cash benefits in % GDP,I,USA,United States,A,Annual,SOCX,Social expenditure,PT_B1GQ,Percentage of GDP,ES10,Public,K,In kind spending,TP31,Incapacity related,_Z,Not applicable,2016,,,,M,Missing value; data cannot exist,0,Units,1,One,_Z,Not applicable,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_PUB_DIS_SIC(1.0),Public expenditure on disability and sickness cash benefits in % GDP,I,USA,United States,A,Annual,SOCX,Social expenditure,PT_B1GQ,Percentage of GDP,ES10,Public,K,In kind spending,TP31,Incapacity related,_Z,Not applicable,2017,,,,M,Missing value; data cannot exist,0,Units,1,One,_Z,Not applicable,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_PUB_DIS_SIC(1.0),Public expenditure on disability and sickness cash benefits in % GDP,I,USA,United States,A,Annual,SOCX,Social expenditure,PT_B1GQ,Percentage of GDP,ES10,Public,K,In kind spending,TP31,Incapacity related,_Z,Not applicable,2018,,,,M,Missing value; data cannot exist,0,Units,1,One,_Z,Not applicable,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_PUB_DIS_SIC(1.0),Public expenditure on disability and sickness cash benefits in % GDP,I,USA,United States,A,Annual,SOCX,Social expenditure,PT_B1GQ,Percentage of GDP,ES10,Public,K,In kind spending,TP31,Incapacity related,_Z,Not applicable,2019,,,,M,Missing value; data cannot exist,0,Units,1,One,_Z,Not applicable,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_PUB_DIS_SIC(1.0),Public expenditure on disability and sickness cash benefits in % GDP,I,USA,United States,A,Annual,SOCX,Social expenditure,PT_B1GQ,Percentage of GDP,ES10,Public,K,In kind spending,TP31,Incapacity related,_Z,Not applicable,2020,,,,M,Missing value; data cannot exist,0,Units,1,One,_Z,Not applicable,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_PUB_DIS_SIC(1.0),Public expenditure on disability and sickness cash benefits in % GDP,I,USA,United States,A,Annual,SOCX,Social expenditure,PT_B1GQ,Percentage of GDP,ES10,Public,K,In kind spending,TP31,Incapacity related,_Z,Not applicable,2021,,,,M,Missing value; data cannot exist,0,Units,1,One,_Z,Not applicable,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_PUB_DIS_SIC(1.0),Public expenditure on disability and sickness cash benefits in % GDP,I,USA,United States,A,Annual,SOCX,Social expenditure,PT_B1GQ,Percentage of GDP,ES10,Public,K,In kind spending,TP31,Incapacity related,_Z,Not applicable,2022,,,,M,Missing value; data cannot exist,0,Units,1,One,_Z,Not applicable,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_PUB_DIS_SIC(1.0),Public expenditure on disability and sickness cash benefits in % GDP,I,USA,United States,A,Annual,SOCX,Social expenditure,PT_B1GQ,Percentage of GDP,ES10,Public,K,In kind spending,TP31,Incapacity related,_Z,Not applicable,2023,,,,M,Missing value; data cannot exist,0,Units,1,One,_Z,Not applicable,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_PUB_DIS_SIC(1.0),Public expenditure on disability and sickness cash benefits in % GDP,I,CRI,Costa Rica,A,Annual,SOCX,Social expenditure,PT_B1GQ,Percentage of GDP,ES10,Public,K,In kind spending,TP31,Incapacity related,_Z,Not applicable,2010,,,,L,Missing value; data exist but were not collected,0,Units,1,One,_Z,Not applicable,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_PUB_DIS_SIC(1.0),Public expenditure on disability and sickness cash benefits in % GDP,I,CRI,Costa Rica,A,Annual,SOCX,Social expenditure,PT_B1GQ,Percentage of GDP,ES10,Public,K,In kind spending,TP31,Incapacity related,_Z,Not applicable,2019,,,,L,Missing value; data exist but were not collected,0,Units,1,One,_Z,Not applicable,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_PUB_DIS_SIC(1.0),Public expenditure on disability and sickness cash benefits in % GDP,I,CRI,Costa Rica,A,Annual,SOCX,Social expenditure,PT_B1GQ,Percentage of GDP,ES10,Public,K,In kind spending,TP31,Incapacity related,_Z,Not applicable,2020,,,,L,Missing value; data exist but were not collected,0,Units,1,One,_Z,Not applicable,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_PUB_DIS_SIC(1.0),Public expenditure on disability and sickness cash benefits in % GDP,I,CRI,Costa Rica,A,Annual,SOCX,Social expenditure,PT_B1GQ,Percentage of GDP,ES10,Public,K,In kind spending,TP31,Incapacity related,_Z,Not applicable,2021,,,,L,Missing value; data exist but were not collected,0,Units,1,One,_Z,Not applicable,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_PUB_DIS_SIC(1.0),Public expenditure on disability and sickness cash benefits in % GDP,I,PER,Peru,A,Annual,SOCX,Social expenditure,PT_B1GQ,Percentage of GDP,ES10,Public,K,In kind spending,TP31,Incapacity related,_Z,Not applicable,2010,,,,L,Missing value; data exist but were not collected,0,Units,1,One,_Z,Not applicable,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_PUB_DIS_SIC(1.0),Public expenditure on disability and sickness cash benefits in % GDP,I,PER,Peru,A,Annual,SOCX,Social expenditure,PT_B1GQ,Percentage of GDP,ES10,Public,K,In kind spending,TP31,Incapacity related,_Z,Not applicable,2011,,,,L,Missing value; data exist but were not collected,0,Units,1,One,_Z,Not applicable,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_PUB_DIS_SIC(1.0),Public expenditure on disability and sickness cash benefits in % GDP,I,PER,Peru,A,Annual,SOCX,Social expenditure,PT_B1GQ,Percentage of GDP,ES10,Public,_T,Total,TP31,Incapacity related,_Z,Not applicable,2010,,,,L,Missing value; data exist but were not collected,0,Units,1,One,_Z,Not applicable,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_PUB_DIS_SIC(1.0),Public expenditure on disability and sickness cash benefits in % GDP,I,PER,Peru,A,Annual,SOCX,Social expenditure,PT_B1GQ,Percentage of GDP,ES10,Public,_T,Total,TP31,Incapacity related,_Z,Not applicable,2011,,,,L,Missing value; data exist but were not collected,0,Units,1,One,_Z,Not applicable,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_PUB_DIS_SIC(1.0),Public expenditure on disability and sickness cash benefits in % GDP,I,CRI,Costa Rica,A,Annual,SOCX,Social expenditure,PT_B1GQ,Percentage of GDP,ES10,Public,_T,Total,TP31,Incapacity related,_Z,Not applicable,2010,,,,L,Missing value; data exist but were not collected,0,Units,1,One,_Z,Not applicable,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_PUB_DIS_SIC(1.0),Public expenditure on disability and sickness cash benefits in % GDP,I,AUS,Australia,A,Annual,SOCX,Social expenditure,PT_B1GQ,Percentage of GDP,ES10,Public,_T,Total,TP31,Incapacity related,_Z,Not applicable,2010,,2.326,,A,Normal value,0,Units,1,One,_Z,Not applicable,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_PUB_DIS_SIC(1.0),Public expenditure on disability and sickness cash benefits in % GDP,I,AUS,Australia,A,Annual,SOCX,Social expenditure,PT_B1GQ,Percentage of GDP,ES10,Public,_T,Total,TP31,Incapacity related,_Z,Not applicable,2011,,2.39,,A,Normal value,0,Units,1,One,_Z,Not applicable,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_PUB_DIS_SIC(1.0),Public expenditure on disability and sickness cash benefits in % GDP,I,AUS,Australia,A,Annual,SOCX,Social expenditure,PT_B1GQ,Percentage of GDP,ES10,Public,_T,Total,TP31,Incapacity related,_Z,Not applicable,2012,,2.433,,A,Normal value,0,Units,1,One,_Z,Not applicable,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_PUB_DIS_SIC(1.0),Public expenditure on disability and sickness cash benefits in % GDP,I,AUS,Australia,A,Annual,SOCX,Social expenditure,PT_B1GQ,Percentage of GDP,ES10,Public,_T,Total,TP31,Incapacity related,_Z,Not applicable,2013,,2.5,,A,Normal value,0,Units,1,One,_Z,Not applicable,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_PUB_DIS_SIC(1.0),Public expenditure on disability and sickness cash benefits in % GDP,I,AUS,Australia,A,Annual,SOCX,Social expenditure,PT_B1GQ,Percentage of GDP,ES10,Public,_T,Total,TP31,Incapacity related,_Z,Not applicable,2014,,2.556,,A,Normal value,0,Units,1,One,_Z,Not applicable,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_PUB_DIS_SIC(1.0),Public expenditure on disability and sickness cash benefits in % GDP,I,AUS,Australia,A,Annual,SOCX,Social expenditure,PT_B1GQ,Percentage of GDP,ES10,Public,_T,Total,TP31,Incapacity related,_Z,Not applicable,2015,,2.542,,A,Normal value,0,Units,1,One,_Z,Not applicable,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_PUB_DIS_SIC(1.0),Public expenditure on disability and sickness cash benefits in % GDP,I,AUS,Australia,A,Annual,SOCX,Social expenditure,PT_B1GQ,Percentage of GDP,ES10,Public,_T,Total,TP31,Incapacity related,_Z,Not applicable,2016,,2.352,,A,Normal value,0,Units,1,One,_Z,Not applicable,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_PUB_DIS_SIC(1.0),Public expenditure on disability and sickness cash benefits in % GDP,I,AUS,Australia,A,Annual,SOCX,Social expenditure,PT_B1GQ,Percentage of GDP,ES10,Public,_T,Total,TP31,Incapacity related,_Z,Not applicable,2017,,2.247,,A,Normal value,0,Units,1,One,_Z,Not applicable,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_PUB_DIS_SIC(1.0),Public expenditure on disability and sickness cash benefits in % GDP,I,AUS,Australia,A,Annual,SOCX,Social expenditure,PT_B1GQ,Percentage of GDP,ES10,Public,_T,Total,TP31,Incapacity related,_Z,Not applicable,2018,,2.032,,A,Normal value,0,Units,1,One,_Z,Not applicable,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_PUB_DIS_SIC(1.0),Public expenditure on disability and sickness cash benefits in % GDP,I,AUS,Australia,A,Annual,SOCX,Social expenditure,PT_B1GQ,Percentage of GDP,ES10,Public,_T,Total,TP31,Incapacity related,_Z,Not applicable,2019,,2.872,,A,Normal value,0,Units,1,One,_Z,Not applicable,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_PUB_DIS_SIC(1.0),Public expenditure on disability and sickness cash benefits in % GDP,I,AUS,Australia,A,Annual,SOCX,Social expenditure,PT_B1GQ,Percentage of GDP,ES10,Public,_T,Total,TP31,Incapacity related,_Z,Not applicable,2020,,3.12,,A,Normal value,0,Units,1,One,_Z,Not applicable,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_PUB_DIS_SIC(1.0),Public expenditure on disability and sickness cash benefits in % GDP,I,AUS,Australia,A,Annual,SOCX,Social expenditure,PT_B1GQ,Percentage of GDP,ES10,Public,_T,Total,TP31,Incapacity related,_Z,Not applicable,2021,,3.129,,A,Normal value,0,Units,1,One,_Z,Not applicable,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_PUB_DIS_SIC(1.0),Public expenditure on disability and sickness cash benefits in % GDP,I,AUS,Australia,A,Annual,SOCX,Social expenditure,PT_B1GQ,Percentage of GDP,ES10,Public,_T,Total,TP31,Incapacity related,_Z,Not applicable,2022,,3.135,,A,Normal value,0,Units,1,One,_Z,Not applicable,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_PUB_DIS_SIC(1.0),Public expenditure on disability and sickness cash benefits in % GDP,I,AUT,Austria,A,Annual,SOCX,Social expenditure,PT_B1GQ,Percentage of GDP,ES10,Public,_T,Total,TP31,Incapacity related,_Z,Not applicable,2010,,2.273,,A,Normal value,0,Units,1,One,_Z,Not applicable,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_PUB_DIS_SIC(1.0),Public expenditure on disability and sickness cash benefits in % GDP,I,AUT,Austria,A,Annual,SOCX,Social expenditure,PT_B1GQ,Percentage of GDP,ES10,Public,_T,Total,TP31,Incapacity related,_Z,Not applicable,2011,,2.267,,A,Normal value,0,Units,1,One,_Z,Not applicable,,
