#visualizingenergy.org
#Contact: vizen@bu.edu
#
#Title: Oil production by country 1900-2022
#Time span: 1900-2022
#----------------------------------------------------------------
#Variable: Oil production by country
#Source: Our World in Data; "Oil Production"
#Source link: https://ourworldindata.org/grapher/oil-production-by-country
#Data accessed: 2023-11-15Description: Our World in Data processes original data from The Energy Institute Statistical Review of World Energy and the The Shift Data Portal--links below
#Additional links: The Energy Institute Statistical Review of World Energy: https://www.energyinst.org/statistical-review; The Shift Data Portal: https://theshiftdataportal.org/energy
#================================================================
Year,United States,Saudi Arabia,Russia,Canada,Iraq,Afghanistan,Albania,Algeria,American Samoa,Angola,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia,Bosnia and Herzegovina,Botswana,Brazil,British Virgin Islands,Brunei,Bulgaria,Burkina Faso,Burundi,Cambodia,Cameroon,Cape Verde,Cayman Islands,Central African Republic,Chad,Chile,China,Colombia,Comoros,Congo,Cook Islands,Costa Rica,Cote d'Ivoire,Croatia,Cuba,Cyprus,Czechia,Czechoslovakia,Democratic Republic of Congo,Denmark,Djibouti,Dominica,Dominican Republic,East Timor,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Eswatini,Ethiopia,Falkland Islands,Faroe Islands,Fiji,Finland,France,French Guiana,French Polynesia,Gabon,Gambia,Georgia,Germany,Ghana,Gibraltar,Greece,Greenland,Grenada,Guadeloupe,Guam,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,Hong Kong,Hungary,Iceland,India,Indonesia,Iran,Ireland,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,Kosovo,Kuwait,Kyrgyzstan,Laos,Latvia,Lebanon,Lesotho,Liberia,Libya,Lithuania,Luxembourg,Macao,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Martinique,Mauritania,Mauritius,Mexico,Moldova,Mongolia,Montenegro,Montserrat,Morocco,Mozambique,Myanmar,Namibia,Nauru,Nepal,Netherlands,Netherlands Antilles,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,Niue,North Korea,North Macedonia,Northern Mariana Islands,Norway,Oman,Pakistan,Palestine,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Puerto Rico,Qatar,Reunion,Romania,Rwanda,Saint Helena,Saint Kitts and Nevis,Saint Lucia,Saint Pierre and Miquelon,Saint Vincent and the Grenadines,Samoa,Sao Tome and Principe,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Slovakia,Slovenia,Solomon Islands,Somalia,South Africa,South Korea,South Sudan,Spain,Sri Lanka,Sudan,Suriname,Sweden,Switzerland,Syria,Taiwan,Tajikistan,Tanzania,Thailand,Togo,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Turks and Caicos Islands,USSR,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States Virgin Islands,Uruguay,Uzbekistan,Vanuatu,Venezuela,Vietnam,Western Sahara,World,Yemen,Yugoslavia,Zambia,Zimbabwe
1910,1.17,0,,0,0,,0,0,,0,,0,,,0,0,,,0,0,0,,,,,,,0,,,0,,0,0,,,,0,,,,,0,0,0,,0,,,0,,0,,,0,0,0,,,,,0,0,,,,,,,,,,,0,,,0,,,0.01,0,,0,,,,,0,,,,,,,0,,0.03,0.06,0,,0,0,,0.01,,,,,,0,,,,,,,0,,,,,,0,,,,,,,0.02,,0,,,0,,0,,,,0,,,0,,,0,,,,,0,0,0,,,,,0.01,0,0.07,,,0,,0.06,,,,,,,,,,,,,,,,,,,,,0,,,0,0,,0,0,,,0,,,0,0,0,,,0.4,,,0,0,,,,,0,,,1.85,,0,,
1911,1.23,0,,0,0,,0,0,,0,,0,,,0,0,,,0,0,0,,,,,,,0,,,0,,0,0,,,,0,,,,,0,0,0,,0,,,0,,0,,,0,0,0,,,,,0,0,,,,,,,,,,,0,,,0,,,0.01,0,,0,,,,,0,,,,,,,0,,0.04,0.07,0,,0,0,,0.01,,,,,,0,,,,,,,0,,,,,,0,,,,,,,0.08,,0,,,0,,0,,,,0,,,0,,,0,,,,,0,0,0,,,,,0.01,0,0.06,,,0,,0.07,,,,,,,,,,,,,,,,,,,,,0,,,0,0,,0,0,,,0,,,0,0,0,,,0.38,,,0,0,,,,,0,,,1.95,,0,,
1912,1.24,0,,0,0,,0,0,,0,,0,,,0,0,,,0,0,0,,,,,,,0,,,0,,0,0,,,,0,,,,,0,0,0,,0,,,0,,0,,,0,0,0,,,,,0,0,,,,,,,,,,,0,,,0,,,0.01,0,,0,,,,,0,,,,,,,0,,0.04,0.06,0,,0,0,,0.01,,,,,,0,,,,,,,0,,,,,,0,,,,,,,0.09,,0,,,0,,0,,,,0,,,0,,,0,,,,,0,0,0,,,,,0.01,0,0.05,,,0,,0.08,,,,,,,,,,,,,,,,,,,,,0,,,0,0,,0,0,,,0,,,0,0,0,,,0.38,,,0,0,,,,,0,,,1.99,,0,,
1913,1.39,0,,0,0,,0,0,,0,,0,,,0,0,,,0,0,0,,,,,,,0,,,0,,0,0,,,,0,,,,,0,0,0,,0,,,0,,0,,,0,0,0,,,,,0,0,,,,,,,,,,,0,,,0,,,0.01,0,,0,,,,,0,,,,,,,0,,0.04,0.06,0.01,,0,0,,0.01,,,,,,0,,,,,,,0,,,,,,0,,,,,,,0.14,,0,,,0,,0,,,,0,,,0,,,0,,,,,0,0,0,,,,,0.01,0,0.05,,,0,,0.08,,,,,,,,,,,,,,,,,,,,,0,,,0,0,,0,0,,,0,,,0,0,0,,,0.38,,,0,0,,,,,0,,,2.19,,0,,
1914,1.48,0,,0,0,,0,0,,0,,0,,,0,0,,,0,0,0,,,,,,,0,,,0,,0,0,,,,0,,,,,0,0,0,,0,,,0,,0,,,0,0,0,,,,,0,0,,,,,,,,,,,0,,,0,,,0,0,,0,,,,,0,,,,,,,0,,0.04,0.07,0.02,,0,0,,0.02,,,,,,0,,,,,,,0,,,,,,0,,,,,,,0.12,,0,,,0,,0,,,,0,,,0,,,0,,,,,0,0,0,,,,,0.01,0,0.04,,,0,,0.08,,,,,,,,,,,,,,,,,,,,,0,,,0,0,,0,0,,,0,,,0,0,0,,,0.37,,,0,0,,,,,0,,,2.26,,0,,
1915,1.57,0,,0,0,,0,0,,0,,0,,,0,0,,,0,0,0,,,,,,,0,,,0,,0,0,,,,0,,,,,0,0,0,,0,,,0,,0,,,0,0,0,,,,,0,0,,,,,,,,,,,0,,,0,,,0,0,,0,,,,,0,,,,,,,0,,0.05,0.07,0.02,,0,0,,0.02,,,,,,0,,,,,,,0,,,,,,0,,,,,,,0.18,,0,,,0,,0,,,,0,,,0,,,0,,,,,0,0,0,,,,,0.02,0,0.03,,,0,,0.07,,,,,,,,,,,,,,,,,,,,,0,,,0,0,,0,0,,,0,,,0,0,0,,,0.39,,,0,0,,,,,0,,,2.42,,0,,
1916,1.68,0,,0,0,,0,0,,0,,0.01,,,0,0,,,0,0,0,,,,,,,0,,,0,,0,0,,,,0,,,,,0,0,0,,0,,,0,,0,,,0,0,0,,,,,0,0,,,,,,,,,,,0,,,0,,,0,0,,0,,,,,0,,,,,,,0,,0.05,0.07,0.03,,0,0,,0.02,,,,,,0,,,,,,,0,,,,,,0,,,,,,,0.23,,0,,,0,,0,,,,0,,,0,,,0,,,,,0,0,0,,,,,0.02,0,0.04,,,0,,0.04,,,,,,,,,,,,,,,,,,,,,0,,,0,0,,0,0,,,0,,,0.01,0,0,,,0.41,,,0,0,,,,,0,,,2.6,,0,,
1917,1.87,0,,0,0,,0,0,,0,,0.01,,,0,0,,,0,0,0,,,,,,,0,,,0,,0,0,,,,0,,,,,0,0,0,,0,,,0,,0,,,0,0,0,,,,,0,0.01,,,,,,,,,,,0,,,0,,,0,0,,0,,,,,0,,,,,,,0,,0.05,0.07,0.04,,0,0,,0.02,,,,,,0,,,,,,,0,,,,,,0,,,,,,,0.35,,0,,,0,,0,,,,0,,,0,,,0,,,,,0,0,0,,,,,0.01,0,0.03,,,0,,0.03,,,,,,,,,,,,,,,,,,,,,0,,,0,0,,0,0,,,0,,,0.01,0,0,,,0.37,,,0,0,,,,,0,,,2.87,,0,,
1918,1.99,0,,0,0,,0,0,,0,,0.01,,,0,0,,,0,0,0,,,,,,,0,,,0,,0,0,,,,0,,,,,0,0,0,,0,,,0,,0,,,0,0,0,,,,,0,0.01,,,,,,,,,,,0,,,0,,,0,0,,0,,,,,0,,,,,,,0,,0.04,0.07,0.05,,0,0,,0.01,,,,,,0,,,,,,,0,,,,,,0,,,,,,,0.4,,0,,,0,,0,,,,0,,,0,,,0,,,,,0,0,0,,,,,0.01,0,0.03,,,0,,0.04,,,,,,,,,,,,,,,,,,,,,0,,,0,0,,0,0,,,0,,,0.01,0,0,,,0.15,,,0,0,,,,,0,,,2.85,,0,,
1919,2.18,0,,0,0,,0,0,,0,,0.01,,,0,0,,,0,0,0,,,,,,,0,,,0,,0,0,,,,0,,,,,0,0,0,,0,,,0,,0,,,0,0,0,,,,,0,0.01,,,,,,,,,,,0,,,0,,,0,0,,0,,,,,0,,,,,,,0,,0.05,0.09,0.06,,0,0,,0.01,,,,,,0,,,,,,,0,,,,,,0,,,,,,,0.54,,0,,,0,,0,,,,0,,,0,,,0,,,,,0,0,0,,,,,0.01,0,0.03,,,0,,0.04,,,,,,,,,,,,,,,,,,,,,0,,,0,0,,0,0,,,0,,,0.01,0,0,,,0.19,,,0,0,,,,,0,,,3.25,,0,,
1920,2.6,0,,0,0,,0,0,,0,,0.01,,,0,0,,,0,0,0,,,,,,,0,,,0,,0,0,,,,0,,,,,0,0,0,,0,,,0,,0,,,0,0,0,,,,,0,0.01,,,,,,,,,,,0,,,0,,,0,0,,0,,,,,0,,,,,,,0,,0.05,0.1,0.07,,0,0,,0.01,,,,,,0,,,,,,,0,,,,,,0.01,,,,,,,1.02,,0,,,0,,0,,,,0,,,0,,,0,,,,,0,0,0,,,,,0.02,0,0.03,,,0,,0.05,,,,,,,,,,,,,,,,,,,,,0,,,0,0,,0,0,,,0,,,0.01,0,0,,,0.16,,,0,0,,,,,0,,,4.16,,0,,
1921,2.71,0,,0,0,,0,0,,0,,0.01,,,0,0,,,0,0,0,,,,,,,0,,,0,,0,0,,,,0,,,,,0,0,0,,0,,,0,,0,,,0,0,0,,,,,0,0.01,,,,,,,,,,,0,,,0,,,0,0,,0,,,,,0,,,,,,,0,,0.05,0.1,0.1,,0,0,,0.01,,,,,,0,,,,,,,0,,,,,,0.01,,,,,,,1.21,,0,,,0,,0,,,,0,,,0,,,0,,,,,0,0,0,,,,,0.02,0,0.03,,,0,,0.05,,,,,,,,,,,,,,,,,,,,,0,,,0,0,,0,0,,,0,,,0.01,0,0,,,0.16,,,0,0,,,,,0.01,,,4.5,,0,,
1922,3.2,0,,0,0,,0,0,,0,,0.02,,,0,0,,,0,0,0,,,,,,,0,,,0,,0,0,,,,0,,,,,0,0,0,,0,,,0,,0,,,0,0,0,,,,,0,0.01,,,,,,,,,,,0,,,0,,,0,0,,0,,,,,0,,,,,,,0,,0.05,0.1,0.13,,0,0,,0.01,,,,,,0,,,,,,,0,,,,,,0.02,,,,,,,1.14,,0,,,0,,0,,,,0,,,0,,,0,,,,,0,0,0,,,,,0.03,0,0.03,,,0,,0.06,,,,,,,,,,,,,,,,,,,,,0,,,0,0,,0,0,,,0,,,0.01,0,0,,,0.2,,,0,0,,,,,0.01,,,5.03,,0,,
1923,4.2,0,,0,0,,0,0,,0,,0.02,,,0,0,,,0,0,0,,,,,,,0,,,0,,0,0,,,,0,,,,,0,0,0,,0,,,0,,0,,,0,0,0,,,,,0,0.01,,,,,,,,,,,0,,,0,,,0,0,,0,,,,,0,,,,,,,0,,0.05,0.12,0.16,,0,0,,0.01,,,,,,0,,,,,,,0,,,,,,0.02,,,,,,,0.95,,0,,,0,,0,,,,0,,,0,,,0,,,,,0,0,0,,,,,0.03,0,0.03,,,0,,0.06,,,,,,,,,,,,,,,,,,,,,0,,,0,0,,0,0,,,0,,,0.02,0,0,,,0.22,,,0,0,,,,,0.03,,,5.94,,0,,
1924,4.1,0,,0,0,,0,0,,0,,0.03,,,0,0,,,0,0,0,,,,,,,0,,,0,,0,0,,,,0,,,,,0,0,0,,0,,,0,,0,,,0,0,0,,,,,0,0.01,,,,,,,,,,,0,,,0,,,0,0,,0,,,,,0,,,,,,,0,,0.05,0.12,0.18,,0,0,,0.01,,,,,,0,,,,,,,0,,,,,,0.03,,,,,,,0.89,,0,,,0,,0,,,,0,,,0,,,0,,,,,0,0,0,,,,,0.04,0,0.03,,,0,,0.08,,,,,,,,,,,,,,,,,,,,,0,,,0,0,,0,0,,,0,,,0.02,0,0,,,0.26,,,0,0,,,,,0.06,,,5.93,,0,,
1925,4.38,0,,0,0,,0,0,,0,,0.04,,,0,0,,,0,0,0,,,,,,,0,,,0,,0,0,,,,0,,,,,0,0,0.01,,0,,,0,,0,,,0,0,0,,,,,0,0.01,,,,,,,,,,,0,,,0,,,0,0,,0,,,,,0,,,,,,,0,,0.05,0.13,0.19,,0,0,,0.01,,,,,,0,,,,,,,0,,,,,,0.03,,,,,,,0.74,,0,,,0,,0,,,,0,,,0,,,0,,,,,0,0,0,,,,,0.05,0,0.03,,,0,,0.1,,,,,,,,,,,,,,,,,,,,,0,,,0,0,,0,0,,,0,,,0.03,0,0,,,0.3,,,0,0,,,,,0.12,,,6.22,,0,,
1926,4.46,0,,0,0,,0,0,,0,,0.05,,,0,0,,,0,0,0,,,,,,,0,,,0,,0,0,,,,0,,,,,0,0,0.04,,0,,,0,,0,,,0,0,0,,,,,0,0.01,,,,,,,,,,,0,,,0,,,0,0,,0,,,,,0,,,,,,,0,,0.05,0.13,0.21,,0,0,,0.01,,,,,,0,,,,,,,0,,,,,,0.03,,,,,,,0.58,,0,,,0,,0,,,,0,,,0,,,0,,,,,0,0,0,,,,,0.06,0,0.03,,,0,,0.14,,,,,,,,,,,,,,,,,,,,,0,,,0,0,,0,0,,,0,,,0.03,0,0,,,0.35,,,0,0,,,,,0.22,,,6.38,,0,,
1927,5.17,0,,0,0,,0,0,,0,,0.05,,,0,0,,,0,0,0,,,,,,,0,,,0,,0,0,,,,0,,,,,0,0,0.09,,0,,,0,,0,,,0,0,0,,,,,0,0.01,,,,,,,,,,,0,,,0,,,0,0,,0,,,,,0,,,,,,,0,,0.05,0.15,0.23,,0,0,,0.01,,,,,,0,,,,,,,0,,,,,,0.03,,,,,,,0.41,,0,,,0,,0,,,,0,,,0,,,0,,,,,0,0,0,,,,,0.06,0,0.03,,,0,,0.15,,,,,,,,,,,,,,,,,,,,,0,,,0,0,,0,0,,,0,,,0.03,0,0,,,0.43,,,0,0,,,,,0.37,,,7.28,,0,,
1928,5.17,0,,0,0,,0,0,,0,,0.06,,,0,0,,,0,0,0,,,,,,,0,,,0,,0,0,,,,0,,,,,0,0,0.12,,0,,,0,,0,,,0,0,0,,,,,0.01,0.01,,,,,,,,,,,0,,,0,,,0,0,,0,,,,,0,,,,,,,0,,0.01,0.18,0.24,,0,0,,0.01,,,,,,0,,,,,,,0,,,,,,0.03,,,,,,,0.3,,0,,,0,,0.04,,,,0,,,0,,,0,,,,,0,0,0,,,,,0.07,0,0.03,,,0,,0.18,,,,,,,,,,,,,,,,,,,,,0,,,0,0,,0,0,,,0,,,0.05,0,0,,,0.49,,,0,0,,,,,0.64,,,7.65,,0,,
1929,5.78,0,,0.01,0.01,,0,0,,0,,0.06,,,0,0,,,0,0,0,,,,,,,0,,,0,,0,0,,,,0,,,,,0,0,0.12,,0,,,0,,0,,,0,0,0,,,,,0.01,0.01,,,,,,,,,,,0,,,0,,,0,0,,0,,,,,0,,,,,,,0,,0.01,0.22,0.23,,0,0,,0.01,,,,,,0,,,,,,,0,,,,,,0.03,,,,,,,0.27,,0,,,0,,0.04,,,,0,,,0,,,0,,,,,0,0,0,,,,,0.07,0,0.03,,,0,,0.2,,,,,,,,,,,,,,,,,,,,,0,,,0,0,,0,0,,,0,,,0.05,0,0,,,0.57,,,0,0,,,,,0.83,,,8.57,,0,,
1930,5.15,0,,0.01,0.01,,0,0,,0,,0.05,,,0,0,,,0,0,0,,,,,,,0,,,0,,0,0,,,,0,,,,,0,0,0.12,,0,,,0,,0,,,0,0,0,,,,,0.01,0.01,,,,,,,,,,,0,,,0,,,0.01,0,,0,,,,,0,,,,,,,0,,0.01,0.21,0.25,,0,0,,0.01,,,,,,0,,,,,,,0,,,,,,0.03,,,,,,,0.24,,0,,,0,,0.04,,,,0,,,0,,,0,,,,,0,0,0,,,,,0.07,0,0.03,,,0,,0.24,,,,,,,,,,,,,,,,,,,,,0,,,0,0,,0,0,,,0,,,0.06,0,0,,,0.77,,,0,0,,,,,0.84,,,8.18,,0,,
1931,4.89,0,,0.01,0.01,,0,0,,0,,0.07,,,0,0,,,0,0,0,,,,,,,0,,,0,,0,0,,,,0,,,,,0,0,0.1,,0,,,0,,0,,,0,0,0,,,,,0.01,0.01,,,,,,,,,,,0,,,0,,,0.01,0,,0,,,,,0,,,,,,,0,,0.01,0.19,0.24,,0,0,,0.01,,,,,,0,,,,,,,0,,,,,,0.02,,,,,,,0.2,,0,,,0,,0.04,,,,0,,,0,,,0,,,,,0,0,0,,,,,0.06,0,0.03,,,0,,0.28,,,,,,,,,,,,,,,,,,,,,0,,,0,0,,0,0,,,0,,,0.06,0,0,,,0.94,,,0,0,,,,,0.72,,,7.91,,0,,
1932,4.51,0,,0.01,0.01,,0,0,,0,,0.08,,,0,0,,,0,0,0,,,,,,,0,,,0,,0.01,0,,,,0,,,,,0,0,0.09,,0,,,0,,0,,,0,0,0,,,,,0.01,0.01,,,,,,,,,,,0,,,0,,,0.01,0,,0,,,,,0,,,,,,,0,,0.01,0.21,0.27,,0,0,,0.01,,,,,,0,,,,,,,0,,,,,,0.01,,,,,,,0.2,,0,,,0,,0.04,,,,0,,,0,,,0,,,,,0,0,0,,,,,0.05,0,0.02,,,0,,0.31,,,,,,,,,,,,,,,,,,,,,0,,,0,0,,0,0,,,0,,,0.06,0,0,,,0.9,,,0,0,,,,,0.72,,,7.55,,0,,
